Model,Horizon,Avg RMSE,Avg MAE,Avg sMAPE,Parameters
Seasonal Naive,7,8.72929583931417,7.666666666666667,6.291381061211521,-
Seasonal Naive,14,12.995888193241527,10.595238095238095,9.315739741161371,-
Seasonal Naive,30,10.682991983564213,9.011111111111111,8.370896021969363,-
Last Value Naive,7,11.082278710131815,9.61904761904762,8.138289923632799,-
Last Value Naive,14,9.066415349687064,7.357142857142857,6.419911761861793,-
Last Value Naive,30,10.157906828506013,8.311111111111112,7.72827984866048,-
Median Naive,7,21.832625681718373,20.952380952380953,18.80144070938809,-
Median Naive,14,18.022825233727705,16.547619047619047,14.989068257236577,-
Median Naive,30,11.663563230688153,10.177777777777777,9.466376852369983,-
ETS,7,7.4082370857998745,5.832401987798742,4.818325630521483,-
ETS,14,9.858614636276434,8.057674467172932,7.086112727023355,-
ETS,30,8.948586342108417,7.706763642788428,7.101078536914535,-
SARIMAX,7,5.542740190846186,4.401509827805227,3.62485503756613,"order=(0, 0, 0), seasonal_order=(0, 0, 0, 7)"
SARIMAX,14,5.885323124838383,4.517498441174663,3.9243572893978644,"order=(0, 0, 0), seasonal_order=(0, 0, 0, 7)"
SARIMAX,30,5.509896464235687,4.273712758620733,4.020791230917311,"order=(0, 0, 0), seasonal_order=(0, 0, 0, 7)"
XGBoost,7,7.214923731015378,5.9572099049886065,4.935773087023208,-
XGBoost,14,6.934828915335871,5.4321333567301435,4.723396359737907,-
XGBoost,30,6.700712095858846,5.152045567830403,4.832674959993265,-
